사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022061700100386,2022년 6월 17일 16시,금요일,세종특별자치시 고운동,경상사고,0,0,1,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,부상신고,화물,남,41세,경상
2022061700100441,2022년 6월 17일 17시,금요일,세종특별자치시 도담동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,건설기계,남,60세,상해없음,승용,여,51세,경상
2022061800100052,2022년 6월 18일 03시,토요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,승용,남,52세,경상
2022061800100065,2022년 6월 18일 05시,토요일,세종특별자치시 소담동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41세,기타불명,승용,여,60세,중상
2022061800100241,2022년 6월 18일 12시,토요일,세종특별자치시 부강면,중상사고,0,1,1,0,차량단독 - 주/정차차량 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,48세,경상,,,,
2022061800100242,2022년 6월 18일 12시,토요일,세종특별자치시 다정동,부상신고사고,0,0,0,3,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,71세,부상신고,승용,남,27세,부상신고
2022061800100278,2022년 6월 18일 13시,토요일,세종특별자치시 어진동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,이륜,남,59세,중상
2022061800100429,2022년 6월 18일 17시,토요일,세종특별자치시 어진동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,여,20세 이하,상해없음,승용,남,43세,경상
2022061800100496,2022년 6월 18일 19시,토요일,세종특별자치시 나성동,부상신고사고,0,0,0,1,차대차 - 측면충돌,불법유턴,건조,맑음,단일로 - 기타,자전거,남,20세 이하,부상신고,승용,남,55세,상해없음
2022061900100276,2022년 6월 19일 16시,일요일,세종특별자치시 아름동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,57세,상해없음,승용,남,35세,경상
2022061900100292,2022년 6월 19일 17시,일요일,세종특별자치시 장군면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,66세,상해없음,보행자,남,58세,중상
2022062000100134,2022년 6월 20일 08시,월요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,화물,남,65세,기타불명,보행자,여,13세,경상
2022062000100472,2022년 6월 20일 17시,월요일,세종특별자치시 연서면,중상사고,0,1,0,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,67세,상해없음,승용,남,48세,중상
2022062100100229,2022년 6월 21일 12시,화요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승합,남,56세,상해없음,승용,여,64세,경상
2022062100100390,2022년 6월 21일 16시,화요일,세종특별자치시 다정동,경상사고,0,0,1,0,차대차 - 측면충돌,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,자전거,남,12세 이하,경상
2022062100100572,2022년 6월 21일 21시,화요일,세종특별자치시 다정동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,기타,기타 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,49세,부상신고
2022062200100024,2022년 6월 22일 02시,수요일,세종특별자치시 어진동,부상신고사고,0,0,0,1,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,53세,부상신고,,,,
