latitude,longitude
36.47064,127.273188
36.47064,127.273188
36.500388,127.26758
36.500388,127.26758
36.500388,127.26758
36.4723,127.276308
36.4723,127.276308
36.4723,127.276308
36.471917,127.276393
36.471917,127.276393
36.471917,127.276393
36.46899,127.273587
36.46899,127.273587
36.46881,127.273503
36.46881,127.273503
36.517507,127.24079
36.517507,127.24079
36.517295,127.240792
36.517295,127.240792
36.491228,127.24981
36.491228,127.24981
36.491228,127.24981
36.491228,127.24981
36.491228,127.24981
36.491228,127.24981
36.489882,127.249903
36.489882,127.249903
36.489882,127.249903
36.489882,127.249903
36.489882,127.249903
36.485848,127.250855
36.485848,127.250855
36.485848,127.250855
36.485848,127.250855
36.485848,127.250855
36.485132,127.25094
36.485132,127.25094
36.485132,127.25094
36.485132,127.25094
36.485132,127.25094
36.4825,127.253517
36.4825,127.253517
36.4825,127.253517
36.4825,127.253517
36.4825,127.253517
36.482392,127.253277
36.482392,127.253277
36.482392,127.253277
36.482392,127.253277
36.482392,127.253277
36.472267,127.276405
36.472267,127.276405
36.472267,127.276405
36.472147,127.276445
36.472147,127.276445
36.472147,127.276445
36.487095,127.301743
36.487095,127.301743
36.487095,127.301743
36.486842,127.301428
36.486842,127.301428
36.486842,127.301428
36.491325,127.304
36.491325,127.304
36.491325,127.304
36.497738,127.312278
36.497738,127.312278
36.497738,127.312278
36.497535,127.310958
36.497535,127.310958
36.497535,127.310958
36.492195,127.30433
36.492195,127.30433
36.492195,127.30433
36.498607,127.24896
36.498607,127.24896
36.498607,127.24896
36.498607,127.24896
36.498607,127.24896
36.498607,127.24896
36.495505,127.249035
36.495505,127.249035
36.495505,127.249035
36.495505,127.249035
36.495505,127.249035
36.495505,127.249035
36.495505,127.249035
36.49434,127.248798
36.49434,127.248798
36.49434,127.248798
36.49434,127.248798
36.49434,127.248798
36.49434,127.248798
36.49434,127.248798
36.496085,127.263035
36.496085,127.263035
36.496085,127.263035
36.495977,127.263487
36.495977,127.263487
36.495977,127.263487
36.479802,127.308112
36.479802,127.308112
36.479802,127.308112
36.479802,127.308112
36.479802,127.308112
36.481188,127.323872
36.499175,127.26764
36.499175,127.26764
36.499175,127.26764
36.49861,127.249178
36.49861,127.249178
36.49861,127.249178
36.49861,127.249178
36.49861,127.249178
36.49861,127.249178
36.483235,127.251393
36.483235,127.251393
36.483393,127.251275
36.483393,127.251275
36.4826,127.247455
36.4826,127.247455
36.48279,127.247415
36.48279,127.247415
36.485427,127.245547
36.485427,127.245547
36.485337,127.245223
36.485337,127.245223
36.48695,127.249293
36.48695,127.249293
36.487138,127.249253
36.487138,127.249253
36.492095,127.269557
36.492095,127.269557
36.492095,127.269557
36.492705,127.268917
36.492705,127.268917
36.492705,127.268917
36.491403,127.258143
36.491403,127.258143
36.491218,127.258188
36.491218,127.258188
36.472418,127.279088
36.472418,127.279088
36.472418,127.279088
36.502547,127.238867
36.502547,127.238867
36.472247,127.278833
36.472247,127.278833
36.472247,127.278833
36.502468,127.238407
36.502468,127.238407
36.513605,127.241697
36.513703,127.241333
36.480455,127.249332
36.480262,127.249415
36.489455,127.244837
36.489595,127.244768
36.48155,127.304532
36.48155,127.304532
36.481542,127.302773
36.481542,127.302773
36.48474,127.304485
36.48474,127.304485
36.48451,127.30424
36.48451,127.30424
36.493712,127.247725
36.493628,127.248183
36.491173,127.255833
36.491173,127.255833
36.490902,127.255042
36.490902,127.255042
36.491552,127.24948
36.491552,127.24948
36.491552,127.24948
36.491552,127.24948
36.491552,127.24948
36.490573,127.250817
36.490573,127.250817
36.492977,127.243043
36.492792,127.243123
36.496053,127.242057
36.496175,127.241833
36.495893,127.247367
36.496055,127.247255
36.498163,127.317688
36.498163,127.317688
36.498117,127.317387
36.498117,127.317387
36.50145,127.312208
36.50145,127.312208
36.50122,127.312255
36.50122,127.312255
36.498988,127.306082
36.498988,127.306082
36.498903,127.306357
36.498903,127.306357
36.496745,127.266467
36.496745,127.266467
36.482505,127.232697
36.482658,127.232757
36.482877,127.24617
36.482855,127.245913
36.48663,127.247012
36.486482,127.247073
36.506398,127.267947
36.506398,127.267947
36.506398,127.267947
36.506398,127.267947
36.506398,127.267947
36.502435,127.260903
36.502213,127.260837
36.497337,127.310767
36.497847,127.312252
36.501133,127.236315
36.500435,127.235985
36.501717,127.328825
36.501717,127.328825
36.501717,127.328825
36.500788,127.32833
36.500788,127.32833
36.500788,127.32833
36.498135,127.322785
36.498135,127.322785
36.498135,127.322785
36.497917,127.321985
36.497917,127.321985
36.497917,127.321985
36.494363,127.318452
36.494363,127.318452
36.494545,127.318515
36.494545,127.318515
36.525452,127.242233
36.525622,127.24224
36.467585,127.242468
36.46751,127.24234
36.48844,127.250695
36.50144,127.31419
36.50144,127.31419
36.501285,127.31406
36.501285,127.31406
36.500322,127.307365
36.500322,127.307365
36.500237,127.30766
36.500237,127.30766
36.490395,127.256808
36.490395,127.256808
36.490395,127.256808
36.490395,127.256808
36.4903,127.256368
36.4903,127.256368
36.4903,127.256368
36.4903,127.256368
36.520517,127.25948
36.520517,127.25948
36.520517,127.25948
36.521617,127.259735
36.521617,127.259735
36.521617,127.259735
36.5205,127.259685
36.5205,127.259685
36.5205,127.259685
36.5205,127.259685
36.5205,127.259685
36.52169,127.259633
36.52169,127.259633
36.52169,127.259633
36.52169,127.259633
36.52169,127.259633
36.498033,127.289713
36.499648,127.283625
36.501882,127.279133
36.50018,127.282103
36.4988,127.286745
36.497607,127.29001
36.524977,127.263183
36.524572,127.263285
36.523357,127.266377
36.52378,127.266403
36.51658,127.241368
36.507682,127.241175
36.503438,127.240877
36.503805,127.241383
36.507628,127.241617
36.516698,127.241865
36.50184,127.32914
36.50067,127.3279
